RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
1,Kyle Gibson,MIN,2,2,2,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
 ,Enny Romero,KC/WSH/PIT,1,1,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,0.1
 ,Vidal Nuno,TB,2,0,2,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,0.1
 ,Derek Law,SF,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
 ,Randy Rosario,CHC,1,1,1,0,0,0,1,0,0,1,0,1.000,1.000,1.000,2.000,0.1
 ,Kolby Allard,ATL,1,1,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.4
 ,Chad Sobotka,ATL,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,0.1
8,Dan Jennings,MIL,3,1,2,1,0,0,0,0,0,0,1,.667,.667,1.000,1.667,0.2
 ,Ryan Lavarnway,PIT,6,1,4,1,0,0,1,0,0,0,1,.667,.667,.833,1.500,0.2
10,Ian Kennedy,KC,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,0.1
 ,Jerry Blevins,NYM,2,0,1,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,0.1
 ,Jesse Biddle,ATL,2,0,1,1,0,0,1,0,0,0,0,.500,.500,1.000,1.500,0.1
 ,Chris Rusin,COL,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
 ,Josh Hader,MIL,2,1,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
 ,Zach Vincej,SEA,4,0,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,-0.0
 ,Roenis Elias,SEA,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,0.1
 ,Dustin Garneau,CHW,2,0,1,0,0,0,1,0,0,1,0,.500,.667,.500,1.167,-0.0
 ,Christian Bergman,SEA,2,0,1,0,0,0,1,0,0,0,0,.500,.500,.500,1.000,0.1
 ,Jorge Lopez,KC/MIL,2,1,1,1,0,0,2,0,0,0,1,.500,.500,1.000,1.500,0.1
 ,Dennis Santana,LAD,2,0,1,1,0,0,2,0,0,0,1,.500,.500,1.000,1.500,0.1
21,Rick Porcello,BOS,7,1,3,2,0,0,3,0,0,0,3,.429,.429,.714,1.143,0.2
22,Mark Zagunis,CHC,5,0,2,1,0,0,1,0,0,1,1,.400,.500,.600,1.100,0.1
 ,Taylor Davis,CHC,5,0,2,0,0,0,2,0,0,0,1,.400,.333,.400,.733,0.0
24,Ryder Jones,SF,8,2,3,0,0,2,3,0,0,0,5,.375,.375,1.125,1.500,0.2
25,Willians Astudillo,MIN,93,9,33,4,1,3,21,0,0,2,3,.355,.371,.516,.887,1.0
26,Mookie Betts,BOS,520,129,180,47,5,32,80,30,6,81,91,.346,.438,.640,1.078,10.9
27,Juan Lagares,NYM,59,9,20,1,1,0,6,3,1,3,9,.339,.375,.390,.765,1.0
28,J.A. Happ,NYY/TOR,6,2,2,0,0,0,0,0,0,1,3,.333,.429,.333,.762,0.1
 ,Wade LeBlanc,SEA,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,0.1
 ,Mike Minor,TEX,3,0,1,1,0,0,0,0,0,0,1,.333,.333,.667,1.000,0.1
 ,A.J. Cole,NYY/WSH,3,1,1,0,0,1,1,0,0,0,1,.333,.333,1.333,1.667,0.2
 ,Deck McGuire,LAA/TOR,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
 ,Marcus Stroman,TOR,3,0,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
 ,Sam Gaviglio,TOR,3,0,1,1,0,0,0,0,0,0,1,.333,.333,.667,1.000,0.1
 ,Matt Grace,WSH,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0.0
 ,Jung Ho Kang,PIT,6,0,2,0,0,0,0,0,0,0,1,.333,.333,.333,.667,-0.0
 ,Daniel Mengden,OAK,3,1,1,0,0,0,1,0,0,0,1,.333,.333,.333,.667,0.0
 ,Brad Keller,KC,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.0
 ,Jeff Brigham,MIA,3,1,1,0,0,0,0,0,0,0,1,.333,.333,.333,.667,0.1
 ,P.J. Conlon,NYM,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,0.0
41,Myles Straw,HOU,9,4,3,0,0,1,1,2,0,1,0,.333,.400,.667,1.067,0.2
42,J.D. Martinez,BOS,569,111,188,37,2,43,130,6,1,69,146,.330,.402,.629,1.031,6.4
43,Jeff McNeil,NYM,225,35,74,11,6,3,19,7,1,14,24,.329,.381,.471,.852,2.4
44,Christian Yelich,MIL,574,118,187,34,7,36,110,22,4,68,135,.326,.402,.598,1.000,7.6
45,Luke Voit,NYY/STL,143,30,46,5,0,15,36,0,0,17,43,.322,.398,.671,1.069,1.4
46,Lonnie Chisenhall,CLE,84,11,27,6,1,1,9,1,0,8,12,.321,.394,.452,.846,0.1
47,Jose Altuve,HOU,534,84,169,29,2,13,61,17,4,55,79,.316,.386,.451,.837,5.2
48,Rowdy Tellez,TOR,70,10,22,9,0,4,14,0,0,2,21,.314,.329,.614,.943,0.4
49,Justin Turner,LAD,365,62,114,31,1,14,52,2,1,47,54,.312,.406,.518,.924,4.5
50,Mike Trout,LAA,471,101,147,24,4,39,79,24,2,122,124,.312,.460,.628,1.088,10.2
51,Yandy Diaz,CLE,109,15,34,5,2,1,15,0,0,11,19,.312,.375,.422,.797,0.2
52,Scooter Gennett,CIN,584,86,181,30,3,23,92,4,2,42,125,.310,.357,.490,.847,4.2
53,Freddie Freeman,ATL,618,94,191,44,4,23,98,10,3,76,132,.309,.388,.505,.892,6.1
54,Michael Brantley,CLE,570,89,176,36,2,17,76,12,3,48,60,.309,.364,.468,.832,3.6
55,Anthony Rendon,WSH,529,88,163,44,2,24,92,2,1,55,82,.308,.374,.535,.909,4.2
56,Lorenzo Cain,MIL,539,90,166,25,2,10,38,30,7,71,94,.308,.395,.417,.813,6.9
57,Wilson Ramos,PHI/TB,382,39,117,22,1,15,70,0,0,32,80,.306,.358,.487,.845,2.7
58,Ben Zobrist,CHC,455,67,139,28,3,9,58,3,4,55,60,.305,.378,.440,.817,3.3
59,Jose Martinez,STL,534,64,163,30,0,17,83,0,3,49,104,.305,.364,.457,.821,1.5
60,Whit Merrifield,KC,632,88,192,43,3,12,60,45,10,61,114,.304,.367,.438,.806,5.5
61,Jean Segura,SEA,586,91,178,29,3,10,63,20,11,32,69,.304,.341,.415,.755,4.3
62,Robinson Cano,SEA,310,44,94,22,0,10,50,0,0,32,47,.303,.374,.471,.845,3.2
63,Howie Kendrick,WSH,152,17,46,14,0,4,12,1,1,5,29,.303,.331,.474,.805,-0.2
64,Adam Eaton,WSH,319,55,96,18,1,5,33,9,1,38,64,.301,.394,.411,.805,1.1
65,Harold Castro,DET,10,2,3,0,0,0,0,1,0,0,2,.300,.300,.300,.600,0.0
 ,German Marquez,COL,60,4,18,0,0,1,5,0,0,0,11,.300,.300,.350,.650,0.7
 ,Andrew Velazquez,TB,10,3,3,1,0,0,0,1,0,1,3,.300,.417,.400,.817,0.3
68,Joey Wendle,TB,487,62,146,33,6,7,61,16,4,37,96,.300,.354,.435,.789,4.3
69,Corey Dickerson,PIT,504,65,151,35,7,13,55,8,3,21,80,.300,.330,.474,.804,3.8
70,Jesse Winker,CIN,281,38,84,16,0,7,43,0,0,49,46,.299,.405,.431,.836,-0.1
