RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,WAR
129,A.J. Pollock,LAD,274,46,72,14,1,14,42,4,1,23,67,.263,.329,.474,.803,0.4
102,Aaron Judge,NYY,345,67,94,16,0,23,50,3,2,60,125,.272,.384,.519,.903,4.7
121,Adalberto Mondesi,KC,387,56,103,18,9,9,57,39,6,17,120,.266,.293,.429,.722,2.4
69,Adam Eaton,WSH,517,96,146,24,7,14,46,13,3,59,96,.282,.367,.437,.804,1.6
70,Adam Frazier,PIT,512,74,144,30,7,9,47,4,4,36,68,.281,.338,.420,.757,0.0
125,Adam Jones,ARI,455,63,120,25,1,15,62,2,1,27,94,.264,.314,.422,.736,0.1
203,Albert Almora Jr.,CHC,332,41,80,11,1,12,32,2,1,15,60,.241,.274,.389,.663,0.0
174,Albert Pujols,LAA,446,52,112,21,0,23,89,2,0,40,64,.251,.313,.453,.765,0.7
36,Alex Bregman,HOU,518,114,153,35,2,36,104,5,1,109,78,.295,.420,.579,.999,7.5
124,Alex Gordon,KC,519,73,137,30,1,13,69,5,3,48,93,.264,.339,.401,.740,1.1
39,Alex Verdugo,LAD,343,43,101,22,2,12,44,4,1,26,49,.294,.342,.475,.817,3.1
 ,Amed Rosario,NYM,567,70,162,27,7,12,61,17,8,31,119,.286,.323,.422,.745,1.6
135,Andrelton Simmons,LAA,356,41,93,16,0,6,33,10,2,21,32,.261,.304,.357,.661,1.6
104,Andrew Benintendi,BOS,514,67,140,39,5,13,68,10,3,56,136,.272,.349,.444,.792,1.8
3,Anthony Rendon,WSH,506,112,168,43,3,33,118,3,1,66,79,.332,.416,.625,1.041,6.3
50,Anthony Rizzo,CHC,492,88,142,28,3,26,93,5,2,70,82,.289,.404,.516,.920,0.0
106,Anthony Santander,BAL,354,41,96,19,1,18,53,1,2,18,78,.271,.308,.483,.791,0.0
158,Asdrubal Cabrera,TEX/WSH,413,60,105,23,1,16,80,4,0,50,99,.254,.335,.431,.766,1.3
260,Austin Hedges,SD,298,28,56,9,1,11,36,1,0,26,99,.188,.264,.336,.599,-0.2
 ,Austin Meadows,TB,492,75,142,28,7,31,87,11,5,45,124,.289,.357,.563,.920,3.4
86,Avisail Garcia,TB,469,59,130,23,2,19,69,10,3,31,122,.277,.329,.456,.786,1.9
167,Ben Gamel,MIL,285,43,72,15,0,7,31,2,2,34,93,.253,.336,.379,.715,0.8
