RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,AJ Reed,CHW,1,0,1.0,0,0,0,0,0,0,0,0,0,0.0,0.00,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
 ,Aaron Loup,SD,4,0,3.1,2,0,0,1,5,0,0,0,0,0.2,0.90,0.00
