RK,PLAYER,TEAM,GP,GS,IP,H,R,ER,BB,SO,W,L,SV,BLSV,WAR,WHIP,ERA
220,Aaron Brooks,BAL/OAK,27,18,101.0,117,71,68,32,77,5,8,0,0,-0.5,1.48,6.06
9,Aaron Bummer,CHW,52,0,60.1,39,17,16,23,53,0,0,1,2,2.4,1.03,2.39
61,Aaron Nola,PHI,32,32,191.2,162,81,77,74,216,12,5,0,0,4.1,1.23,3.62
216,Aaron Sanchez,TOR/HOU,27,27,131.1,145,92,86,68,115,5,14,0,0,-0.2,1.62,5.89
3,Adam Ottavino,NYY,69,0,63.1,43,15,13,39,85,6,4,2,7,2.2,1.29,1.85
133,Adam Plutko,CLE,18,17,97.2,100,50,48,21,66,6,4,0,0,1.0,1.24,4.42
94,Adam Wainwright,STL,28,28,155.1,153,71,69,61,141,12,9,0,0,2.2,1.38,4.00
83,Adrian Houser,MIL,32,15,98.1,94,45,42,36,104,6,6,0,0,1.4,1.32,3.84
211,Adrian Sampson,TEX,33,15,121.0,150,81,77,35,97,6,8,0,0,1.4,1.53,5.73
47,Alex Young,ARI,14,13,69.1,56,32,26,21,61,7,4,0,0,0.7,1.11,3.38
136,Andrew Cashner,BAL/BOS,35,23,142.1,133,77,71,55,100,11,8,1,0,2.7,1.32,4.49
168,Andrew Heaney,LAA,16,16,85.0,82,46,45,25,103,4,5,0,0,1.0,1.26,4.76
84,Anibal Sanchez,WSH,28,28,154.0,141,71,66,57,126,9,8,0,0,3.6,1.29,3.86
91,Anthony DeSclafani,CIN,29,29,155.2,140,71,68,47,155,9,9,0,0,2.8,1.20,3.93
230,Antonio Senzatela,COL,22,22,108.2,139,89,83,51,62,9,10,0,0,-0.4,1.75,6.87
79,Archie Bradley,ARI,61,1,66.1,64,30,28,35,81,4,5,14,3,0.7,1.49,3.80
214,Ariel Jurado,TEX,30,18,118.1,142,90,76,36,79,7,10,0,0,-0.1,1.50,5.78
197,Asher Wojciechowski,BAL,15,14,72.0,70,43,43,25,70,3,8,0,0,0.9,1.32,5.38
123,Blake Snell,TB,20,20,101.0,91,50,48,35,136,6,7,0,0,1.3,1.25,4.28
113,Brad Keller,KC,28,28,165.1,154,80,77,70,122,7,14,0,0,2.6,1.35,4.19
100,Brad Peacock,HOU,20,15,88.2,76,41,40,29,94,7,6,0,0,1.4,1.18,4.06
75,Brandon Woodruff,MIL,20,20,117.2,109,49,49,29,136,11,3,0,0,2.7,1.17,3.75
4,Brandon Workman,BOS,67,0,66.1,27,17,15,41,94,9,1,14,6,2.8,1.03,2.04
102,Brett Anderson,OAK,29,29,166.0,173,79,75,48,85,12,9,0,0,2.1,1.33,4.07
201,Bryan Shaw,COL,67,0,69.1,68,43,42,28,57,2,2,0,5,0.6,1.38,5.45
103,Buck Farmer,DET,68,1,61.2,59,32,28,24,70,5,6,0,3,0.9,1.35,4.09
178,CC Sabathia,NYY,21,21,103.2,107,62,57,37,101,5,8,0,0,0.4,1.39,4.95
195,Cal Quantrill,SD,22,17,98.0,104,60,58,28,83,6,8,0,0,-0.1,1.35,5.33
110,Caleb Smith,MIA,25,25,139.1,108,68,64,51,160,8,10,0,0,2.0,1.14,4.13
39,Cam Bedrosian,LAA,59,7,61.1,48,30,22,22,64,3,3,1,3,0.7,1.14,3.23
200,Carlos Carrasco,CLE,18,12,72.2,85,45,44,13,90,5,7,0,1,0.2,1.35,5.45
78,Carlos Estevez,COL,68,0,69.0,67,33,29,22,77,2,2,0,1,1.5,1.29,3.78
221,Chad Bettis,COL,39,3,63.2,78,47,43,21,42,1,6,1,2,-0.1,1.55,6.08
 ,Chad Green,NYY,50,14,64.0,65,34,32,17,85,4,4,2,0,0.2,1.28,4.50
34,Charlie Morton,TB,31,31,182.1,148,69,64,53,223,15,6,0,0,4.5,1.10,3.16
138,Chase Anderson,MIL,30,25,128.0,118,66,64,47,118,6,4,0,0,1.3,1.29,4.50
190,Chris Archer,PIT,23,23,119.2,114,73,69,55,143,3,9,0,0,0.8,1.41,5.19
92,Chris Bassitt,OAK,25,25,139.0,124,66,61,45,132,10,5,0,0,1.5,1.22,3.95
191,Chris Devenski,HOU,57,1,64.0,68,39,37,20,69,2,3,0,1,-0.2,1.38,5.20
49,Chris Paddack,SD,25,25,135.2,106,57,51,30,144,9,7,0,0,2.5,1.00,3.38
130,Chris Sale,BOS,25,25,147.1,123,80,72,37,218,6,11,0,0,2.2,1.09,4.40
205,Chris Stratton,LAA/PIT,30,5,71.1,89,47,44,30,65,1,3,0,0,-0.1,1.67,5.55
