about.atBatIndex,about.halfInning,about.inning,count.balls,count.strikes,details.call.code,details.call.description,details.description,matchup.batSide.code,matchup.batter.fullName,matchup.pitchHand.code,matchup.pitcher.fullName,matchup.pitcher.id,matchup.splits.menOnBase,pitchData.nastyFactor,pitchData.zone,pitchNumber,previous_pitch_code,pitch_type,prior_pitch_type
0,top,1,0.0,0.0,X,Hit Into Play - Out(s),"In play, out(s)",R,JaCoby Jones,R,Dylan Cease,656302,Empty,,,1.0,,Fastball,
1,top,1,1.0,0.0,B,Ball - Called,Ball,L,Christin Stewart,R,Dylan Cease,656302,Empty,,,1.0,,Fastball,
1,top,1,2.0,0.0,B,Ball - Called,Ball,L,Christin Stewart,R,Dylan Cease,656302,Empty,,,2.0,FF,Fastball,Fastball
1,top,1,2.0,1.0,S,Strike - Swinging,Called Strike,L,Christin Stewart,R,Dylan Cease,656302,Empty,,,3.0,FF,Fastball,Fastball
1,top,1,2.0,2.0,S,Strike - Swinging,Foul,L,Christin Stewart,R,Dylan Cease,656302,Empty,,,4.0,FF,Fastball,Fastball
1,top,1,2.0,2.0,X,Hit Into Play - Out(s),"In play, out(s)",L,Christin Stewart,R,Dylan Cease,656302,Empty,,,5.0,FF,Fastball,Fastball
2,top,1,0.0,1.0,S,Strike - Swinging,Called Strike,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,1.0,,Breaking_Ball,
2,top,1,1.0,1.0,B,Ball - Called,Ball,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,2.0,SL,Fastball,Breaking_Ball
2,top,1,1.0,1.0,,,On-field Delay.,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,,FF,,Fastball
2,top,1,1.0,2.0,S,Strike - Swinging,Foul,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,3.0,,Fastball,
2,top,1,2.0,2.0,B,Ball - Called,Ball,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,4.0,FF,Fastball,Fastball
2,top,1,3.0,2.0,B,Ball - Called,Ball,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,5.0,FF,Breaking_Ball,Fastball
2,top,1,3.0,2.0,S,Strike - Swinging,Foul,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,6.0,SL,Breaking_Ball,Breaking_Ball
2,top,1,4.0,2.0,B,Ball - Called,Ball,R,Nicholas Castellanos,R,Dylan Cease,656302,Men_On,,,7.0,SL,Fastball,Breaking_Ball
3,top,1,0.0,1.0,S,Strike - Swinging,Called Strike,R,Brandon Dixon,R,Dylan Cease,656302,RISP,,,1.0,,Fastball,
3,top,1,1.0,1.0,B,Ball - Called,Ball,R,Brandon Dixon,R,Dylan Cease,656302,RISP,,,2.0,FF,Fastball,Fastball
3,top,1,2.0,1.0,B,Ball - Called,Ball,R,Brandon Dixon,R,Dylan Cease,656302,RISP,,,3.0,FF,Fastball,Fastball
3,top,1,,,,,Pickoff Attempt 1B,R,Brandon Dixon,R,Dylan Cease,656302,RISP,,,,FF,,Fastball
3,top,1,3.0,1.0,B,Ball - Called,Ball,R,Brandon Dixon,R,Dylan Cease,656302,RISP,,,4.0,,Fastball,
3,top,1,4.0,1.0,B,Ball - Called,Ball,R,Brandon Dixon,R,Dylan Cease,656302,RISP,,,5.0,FF,Fastball,Fastball
4,top,1,0.0,1.0,S,Strike - Swinging,Called Strike,L,Jeimer Candelario,R,Dylan Cease,656302,Loaded,,,1.0,,Breaking_Ball,
4,top,1,0.0,2.0,S,Strike - Swinging,Called Strike,L,Jeimer Candelario,R,Dylan Cease,656302,Loaded,,,2.0,SL,Breaking_Ball,Breaking_Ball
4,top,1,1.0,2.0,B,Ball - Called,Ball,L,Jeimer Candelario,R,Dylan Cease,656302,Loaded,,,3.0,SL,Fastball,Breaking_Ball
4,top,1,1.0,2.0,S,Strike - Swinging,Foul,L,Jeimer Candelario,R,Dylan Cease,656302,Loaded,,,4.0,FF,Breaking_Ball,Fastball
4,top,1,2.0,2.0,B,Ball - Called,Hit By Pitch,L,Jeimer Candelario,R,Dylan Cease,656302,Loaded,,,5.0,SL,Fastball,Breaking_Ball
5,top,1,0.0,0.0,,,Injury Delay.,L,Harold Castro,R,Dylan Cease,656302,RISP,,,,,,
5,top,1,0.0,1.0,S,Strike - Swinging,Called Strike,L,Harold Castro,R,Dylan Cease,656302,RISP,,,1.0,,Breaking_Ball,
5,top,1,0.0,1.0,X,Hit Into Play - Out(s),"In play, run(s)",L,Harold Castro,R,Dylan Cease,656302,RISP,,,2.0,SL,Breaking_Ball,Breaking_Ball
6,top,1,1.0,0.0,B,Ball - Called,Ball,L,Niko Goodrum,R,Dylan Cease,656302,Loaded,,,1.0,,Fastball,
6,top,1,1.0,1.0,S,Strike - Swinging,Called Strike,L,Niko Goodrum,R,Dylan Cease,656302,Loaded,,,2.0,FF,Breaking_Ball,Fastball
6,top,1,1.0,2.0,S,Strike - Swinging,Swinging Strike,L,Niko Goodrum,R,Dylan Cease,656302,Loaded,,,3.0,SL,Fastball,Breaking_Ball
6,top,1,2.0,2.0,B,Ball - Called,Ball,L,Niko Goodrum,R,Dylan Cease,656302,Loaded,,,4.0,FF,Fastball,Fastball
6,top,1,3.0,2.0,B,Ball - Called,Ball,L,Niko Goodrum,R,Dylan Cease,656302,Loaded,,,5.0,FF,Fastball,Fastball
6,top,1,4.0,2.0,B,Ball - Called,Ball,L,Niko Goodrum,R,Dylan Cease,656302,Loaded,,,6.0,FF,Breaking_Ball,Fastball
7,top,1,0.0,0.0,,,Mound Visit.,R,John Hicks,R,Dylan Cease,656302,Empty,,,,,,
7,top,1,0.0,1.0,S,Strike - Swinging,Called Strike,R,John Hicks,R,Dylan Cease,656302,Empty,,,1.0,,Fastball,
7,top,1,0.0,1.0,X,Hit Into Play - Out(s),"In play, out(s)",R,John Hicks,R,Dylan Cease,656302,Empty,,,2.0,FF,Breaking_Ball,Fastball
8,bottom,1,1.0,0.0,B,Ball - Called,Ball,R,Leury Garcia,L,Daniel Norris,596057,Empty,,,1.0,,Fastball,
8,bottom,1,1.0,1.0,S,Strike - Swinging,Called Strike,R,Leury Garcia,L,Daniel Norris,596057,Empty,,,2.0,FF,Fastball,Fastball
8,bottom,1,2.0,1.0,B,Ball - Called,Ball,R,Leury Garcia,L,Daniel Norris,596057,Empty,,,3.0,FF,Fastball,Fastball
8,bottom,1,2.0,1.0,X,Hit Into Play - Out(s),"In play, out(s)",R,Leury Garcia,L,Daniel Norris,596057,Empty,,,4.0,FF,Fastball,Fastball
9,bottom,1,0.0,1.0,S,Strike - Swinging,Called Strike,R,Yoan Moncada,L,Daniel Norris,596057,Empty,,,1.0,,Fastball,
9,bottom,1,0.0,2.0,S,Strike - Swinging,Foul,R,Yoan Moncada,L,Daniel Norris,596057,Empty,,,2.0,FF,Breaking_Ball,Fastball
9,bottom,1,1.0,2.0,B,Ball - Called,Ball,R,Yoan Moncada,L,Daniel Norris,596057,Empty,,,3.0,CU,Changeup,Breaking_Ball
9,bottom,1,1.0,3.0,S,Strike - Swinging,Swinging Strike,R,Yoan Moncada,L,Daniel Norris,596057,Empty,,,4.0,CH,Breaking_Ball,Changeup
10,bottom,1,0.0,1.0,S,Strike - Swinging,Called Strike,R,Jose Abreu,L,Daniel Norris,596057,RISP,,,1.0,,Fastball,
10,bottom,1,1.0,1.0,B,Ball - Called,Ball,R,Jose Abreu,L,Daniel Norris,596057,RISP,,,2.0,FF,Changeup,Fastball
10,bottom,1,1.0,2.0,S,Strike - Swinging,Foul,R,Jose Abreu,L,Daniel Norris,596057,RISP,,,3.0,CH,Changeup,Changeup
10,bottom,1,2.0,2.0,B,Ball - Called,Ball,R,Jose Abreu,L,Daniel Norris,596057,RISP,,,4.0,CH,Fastball,Changeup
